CYY-F 5X6 NEGRU,##E900 ELP 232 M,0.232
CYY-F 5X6 T500,TT CABLES BG 0-500 500 M,16
CYY-F 7X1.5,##E1400 MCAB 0-3540 3540 M,0.048
CYY-F 7X2.5 NEGRU,##E1200 MCB 3081,0.18
F/UTP Cat 5E 100MHz PVC Gri Eca,BRAUN 0-305 305 M,8.235
F/UTP Cat 5E 100MHz PVC Gri Eca,NEXTRA 0-305 305 M,6.1
F/UTP CAT 6 250MHz PVC Gri Eca,PLACAJ BRAUN 0-305 305 M,14.335
FUNIE CU 16 CLS.2,##E1000 CABTEC 0-2000 2000 M,2
FUNIE CU 16 CLS.2,##E1000 CABTEC 1900 ML,0.217
FUNIE CU 25 CLS 2,##E1000 CABTEC 0-1000 1000 M,0.35
FUNIE CU 25 CLS 2,##E1000 CABTEC 0-1300 1300 M,1.3
FUNIE CU 35 CLS.2,##E1000 CABTEC 0-2500 2500 M,2.16
FY 1X1.5 ALBASTRU C100,ELSEWEDY 0-100 100 M,0.4
FY 1X1.5 G/V C100,ELSEWEDY 0-100 100 M,0.1
FY 1X1.5 G/V C100,ENG 0-100 100 M,4.2
FY 1X1.5 MARO C100,ENG 0-100 100 M,10.5
FY 1X1.5 NEGRU C100,ENG 0-100 100 M,8
FY 1X2.5 NEGRU C100,ENG 0-100 100 M,2.3
FY 1X2.5 NEGRU C100,ENG 0-100 100 M,12.5
FY 1X2.5 NEGRU C100,IPROEB 0-100 100 M,0.3
FY 1X2.5 NEGRU C100,ROMCAB,0.5
FY 1X2.5 ROSU C100,ENG 0-100 100 M,0.4
FY 1X2.5 ROSU C100,IPROEB 0-100 100 M,0.2
H07RN-F 12X2.5,##E1300 ICME 0-1007 1007 M,0.823
H07RN-F 2X1.5,##E1300 ICME 0-5022 5022 M,2.972
H07RN-F 3X1.5,##E1300 ICME 0-5031 5031 M,4.931
H07RN-F 3X1.5,##E1400 PRYSMIAN 5046-2 5044 M,0.146
H07RN-F 3X1.5,##E1400 PRYSMIAN 5064-7 5057 M,0.057
H07RN-F 3X1.5 T500,PRYSMIAN 0-500 500 M,1
H07RN-F 3X2.5,##E1600 PRYSMIAN 5167-0 5167 M,0.027
H07RN-F 3X2.5,PLACAJ ICME 0-501 501 M,0.031
H07RN-F 3X25+16,##E1600 ICME 0-924 924 M,0.689
H07RN-F 3X35+16,##E1700 ICME 0-994 994 M,0.419
H07RN-F 3X50+25,##E1900 ICME 749-0 749 M,0.163
H07RN-F 3X95+50,## E1200 ICME 0-76 76 M,0.076
H07RN-F 3X95+50,##E1700 ICME 0-486 486 M,0.251
H07RN-F 4X1.5,##E1000 ICME 1501-5 1496 M,0.071
H07RN-F 4X1.5,##E1200 ICME 2902-2 2900 M,2.1
H07RN-F 4X1.5,##E1400 ICME 0-4902 4902 M,0.137
H07RN-F 4X1.5,colac ICME 147 M,0.147
H07RN-F 4X10,##E1800 PRYSMIAN 0-2013 2013 M,0.223
H07RN-F 4X16,##E1100 ICME 60 M,0.06
H07RN-F 4X16,##E1400 RUPT ICME 442 ML,0.042
H07RN-F 4X16,##E1800 PRYSMIAN 1917-1 1916 M,1.376
